Ingredient,Description,"[obesity,heart,diabetes,cancer,gut]"
Lactic acid,Lactic acid is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Acetic acid,Acetic acid is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Phosphoric acid,Phosphoric acid is a food additive that may have certain health risks when consumed in excess.,"[0,1,0,0,0]"
Sodium citrate,Sodium citrate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Potassium citrate,Potassium citrate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Glycerol,Glycerol is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Gum arabic,Gum arabic is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Xanthan gum,Xanthan gum is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Guar gum,Guar gum is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Locust bean gum,Locust bean gum is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Acesulfame potassium,Acesulfame potassium is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Neotame,Neotame is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Stevia,Stevia is a natural sweetener that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Maltitol,Maltitol is a sugar alcohol that may have certain health risks when consumed in excess.,"[1,0,1,0,1]"
Erythritol,Erythritol is a sugar alcohol that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Polydextrose,Polydextrose is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Inulin,Inulin is a food additive that may have certain health benefits for gut health.,"[0,0,0,0,0]"
Fructooligosaccharides,Fructooligosaccharides are prebiotics that may have certain health benefits for gut health.,"[0,0,0,0,0]"
Beta-carotene,Beta-carotene is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Lycopene,Lycopene is a food additive that may have certain health benefits.,"[0,0,0,0,0]"
Lutein,Lutein is a food additive that may have certain health benefits.,"[0,0,0,0,0]"
Zeaxanthin,Zeaxanthin is a food additive that may have certain health benefits.,"[0,0,0,0,0]"
Sodium alginate,Sodium alginate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Potassium alginate,Potassium alginate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Calcium alginate,Calcium alginate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,1]"
Magnesium stearate,Magnesium stearate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Calcium stearate,Calcium stearate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Soy lecithin,Soy lecithin is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Sunflower lecithin,Sunflower lecithin is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Mono- and diglycerides,Mono- and diglycerides are food additives that may have certain health risks when consumed in excess.,"[1,1,1,0,0]"
Polyglycerol esters of fatty acids,Polyglycerol esters of fatty acids are food additives that may have certain health risks when consumed in excess.,"[1,1,1,0,0]"
Sodium stearoyl lactylate,Sodium stearoyl lactylate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Sodium phosphate,Sodium phosphate is a food additive that may have certain health risks when consumed in excess.,"[0,1,0,0,0]"
Potassium phosphate,Potassium phosphate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Magnesium phosphate,Magnesium phosphate is a food additive that may have certain health benefits for bone health.,"[0,0,0,0,0]"
Sodium nitrate,Sodium nitrate is a preservative linked to cancer risks.,"[0,0,0,1,0]"
Potassium nitrate,Potassium nitrate is a preservative linked to cancer risks.,"[0,0,0,1,0]"
Sodium sulfite,Sodium sulfite is a preservative that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Potassium metabisulfite,Potassium metabisulfite is a preservative that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Sulfur dioxide,Sulfur dioxide is a preservative that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Sodium thiosulfate,Sodium thiosulfate is a food additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Annatto,Annatto is a natural color additive that may have certain health risks in sensitive individuals.,"[0,0,0,0,0]"
Beet juice extract,Beet juice extract is a natural color additive with minimal health risks.,"[0,0,0,0,0]"
Paprika extract,Paprika extract is a natural color additive with minimal health risks.,"[0,0,0,0,0]"
Chlorophyll,Chlorophyll is a natural color additive with minimal health risks.,"[0,0,0,0,0]"
Riboflavin (Vitamin B2),Riboflavin is a vitamin additive with health benefits.,"[0,0,0,0,0]"
Ascorbic acid (Vitamin C),Ascorbic acid is a vitamin additive with health benefits.,"[0,0,0,0,0]"
Niacin (Vitamin B3),Niacin is a vitamin additive with health benefits.,"[0,0,0,0,0]"
Folic acid,Folic acid is a vitamin additive with health benefits.,"[0,0,0,0,0]"
Vitamin D2,Vitamin D2 is a vitamin additive with health benefits.,"[0,0,0,0,0]"
Vitamin D3,Vitamin D3 is a vitamin additive with health benefits.,"[0,0,0,0,0]"
Iron (ferrous sulfate),Iron is a mineral additive with health benefits.,"[0,0,0,0,0]"
Zinc oxide,Zinc oxide is a mineral additive with health benefits.,"[0,0,0,0,0]"
Copper sulfate,Copper sulfate is a mineral additive that may have certain health risks when consumed in excess.,"[0,0,0,0,0]"
Manganese sulfate,Manganese sulfate is a mineral additive with health benefits in small amounts.,"[0,0,0,0,0]"
